            y=0.00e+00    y=1.01e+00    y=2.02e+00    y=3.03e+00    y=4.04e+00    y=5.05e+00    y=6.06e+00    y=7.07e+00    y=8.08e+00    y=9.09e+00    y=1.01e+01    y=1.11e+01    y=1.21e+01    y=1.31e+01    y=1.41e+01    y=1.52e+01    y=1.62e+01    y=1.72e+01    y=1.82e+01    y=1.92e+01    y=2.02e+01    y=2.12e+01    y=2.22e+01    y=2.32e+01    y=2.42e+01    y=2.53e+01    y=2.63e+01    y=2.73e+01    y=2.83e+01    y=2.93e+01    y=3.03e+01    y=3.13e+01    y=3.23e+01    y=3.33e+01    y=3.43e+01    y=3.54e+01    y=3.64e+01    y=3.74e+01    y=3.84e+01    y=3.94e+01    y=4.04e+01    y=4.14e+01    y=4.24e+01    y=4.34e+01    y=4.44e+01    y=4.55e+01    y=4.65e+01    y=4.75e+01    y=4.85e+01    y=4.95e+01    y=5.05e+01    y=5.15e+01    y=5.25e+01    y=5.35e+01    y=5.45e+01    y=5.56e+01    y=5.66e+01    y=5.76e+01    y=5.86e+01    y=5.96e+01    y=6.06e+01    y=6.16e+01    y=6.26e+01    y=6.36e+01    y=6.46e+01    y=6.57e+01    y=6.67e+01    y=6.77e+01    y=6.87e+01    y=6.97e+01    y=7.07e+01    y=7.17e+01    y=7.27e+01    y=7.37e+01    y=7.47e+01    y=7.58e+01    y=7.68e+01    y=7.78e+01    y=7.88e+01    y=7.98e+01    y=8.08e+01    y=8.18e+01    y=8.28e+01    y=8.38e+01    y=8.48e+01    y=8.59e+01    y=8.69e+01    y=8.79e+01    y=8.89e+01    y=8.99e+01    y=9.09e+01    y=9.19e+01    y=9.29e+01    y=9.39e+01    y=9.49e+01    y=9.60e+01    y=9.70e+01    y=9.80e+01    y=9.90e+01  y=1.00e+02
x=0.00e+00       100.0  8.414380e+10  9.770512e+10  1.043508e+11  1.076076e+11  1.092036e+11  1.099857e+11  1.103689e+11  1.105567e+11  1.106488e+11  1.106939e+11  1.107160e+11  1.107268e+11  1.107321e+11  1.107347e+11  1.107360e+11  1.107366e+11  1.107369e+11  1.107371e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11       100.0
x=1.01e+00       100.0 -7.550530e+34 -1.877672e+35 -1.508026e+35  4.730052e+35  1.759183e+36  2.481412e+36  8.746367e+35 -3.204371e+36 -8.424505e+36 -1.390699e+37 -1.603145e+37 -2.360844e+36  3.917824e+37  9.314106e+37  1.099579e+38  4.890274e+37 -8.199504e+37 -2.622565e+38 -5.046689e+38 -7.446443e+38 -6.393169e+38  3.139350e+38  2.155936e+39  3.992139e+39  4.537362e+39  3.218933e+39  2.720580e+37 -6.256200e+39 -1.820443e+40 -3.484946e+40 -4.521112e+40 -3.057401e+40  2.025410e+40  9.683581e+40  1.753481e+41  2.446205e+41  3.075644e+41  3.249598e+41  1.496742e+41 -4.276505e+41 -1.467155e+42 -2.660487e+42 -3.393672e+42 -3.162549e+42 -1.916761e+42  2.911802e+41  4.320667e+42  1.239139e+43  2.637242e+43  4.403401e+43  5.638428e+43  5.026893e+43  1.655164e+43 -4.301911e+43 -1.203585e+44 -2.187007e+44 -3.670111e+44 -6.033055e+44 -9.143889e+44 -1.163814e+45 -1.080967e+45 -3.696294e+44  1.100992e+45  3.184101e+45  5.611785e+45  8.433005e+45  1.240377e+46  1.874623e+46  2.787686e+46  3.746813e+46  4.119077e+46  2.983771e+46 -4.597263e+45 -6.395982e+46 -1.422030e+47 -2.335403e+47 -3.466105e+47 -5.111494e+47 -8.324455e+47 -1.299419e+48 -1.945739e+48 -3.133588e+48 -2.536941e+48 -4.398841e+48 -3.665320e+48  6.525258e+48 -1.752274e+49  2.666072e+49  8.118498e+47 -4.206428e+49  1.324489e+50 -5.616785e+49  5.924079e+49  3.091046e+50  2.415638e+50 -1.244587e+49  1.037213e+51  7.144207e+50       100.0
x=2.02e+00       100.0 -2.040349e+35 -1.853094e+34  8.500017e+35  2.179890e+36  3.532402e+36  2.886870e+36 -4.373151e+36 -1.928928e+37 -3.024304e+37 -1.904527e+37  1.868176e+37  7.144238e+37  1.329634e+38  1.867948e+38  1.391224e+38 -1.629346e+38 -7.171024e+38 -1.177603e+39 -1.064182e+39 -2.155788e+38  1.233393e+39  3.434396e+39  6.645597e+39  9.375652e+39  7.033685e+39 -5.145633e+39 -2.577445e+40 -4.531465e+40 -5.355185e+40 -4.740463e+40 -2.302696e+40  4.321498e+40  1.888904e+41  4.084157e+41  5.880068e+41  5.308619e+41  1.024467e+41 -6.438925e+41 -1.557228e+42 -2.647458e+42 -4.098141e+42 -5.663461e+42 -5.815288e+42 -1.820257e+42  8.412960e+42  2.376865e+43  3.946421e+43  5.039177e+43  5.538015e+43  5.563469e+43  4.387133e+43 -7.798151e+42 -1.430399e+44 -3.879312e+44 -7.050976e+44 -9.794877e+44 -1.071609e+45 -9.121464e+44 -5.355078e+44  5.325418e+43  1.149872e+45  3.517942e+45  8.110742e+45  1.523359e+46  2.357129e+46  2.997523e+46  3.071739e+46  2.377751e+46  1.016639e+46 -8.306361e+45 -3.563675e+46 -8.923224e+46 -2.011739e+47 -4.055468e+47 -7.118303e+47 -1.083084e+48 -1.413926e+48 -1.603562e+48 -1.659236e+48 -1.294017e+48 -1.612381e+48 -1.408478e+48  1.269573e+48 -5.672952e+48  1.713843e+49  1.178459e+49  6.197214e+48  1.524485e+50 -5.927251e+49  2.196123e+50  2.566654e+50 -1.265137e+50  4.729976e+50  7.206358e+50 -1.467066e+50  9.618659e+50  2.527134e+51  6.430298e+50       100.0
x=3.03e+00       100.0 -1.526658e+35  7.571552e+35  3.208834e+36  4.668274e+36  1.064218e+36 -8.093579e+36 -2.016749e+37 -3.279697e+37 -3.342294e+37  1.204443e+37  1.235067e+38  2.382219e+38  2.247507e+38  1.342174e+37 -3.448365e+38 -8.134486e+38 -1.388675e+39 -1.675453e+39 -5.826615e+38  2.776074e+39  7.356209e+39  1.004332e+40  8.225079e+39  1.700869e+39 -1.003427e+40 -3.120665e+40 -6.340768e+40 -8.947439e+40 -6.932701e+40  3.107710e+40  1.972512e+41  3.661140e+41  4.850047e+41  5.463328e+41  4.948027e+41  7.290198e+40 -1.120766e+42 -3.181614e+42 -5.374899e+42 -6.238279e+42 -4.558623e+42 -2.822143e+41  6.111822e+42  1.570283e+43  3.181826e+43  5.589599e+43  7.957520e+43  8.092327e+43  3.360834e+43 -7.320396e+43 -2.226311e+44 -3.858562e+44 -5.598422e+44 -7.811289e+44 -1.062015e+45 -1.256913e+45 -9.714338e+44  3.280765e+44  2.965881e+45  6.689403e+45  1.068402e+46  1.418640e+46  1.730284e+46  2.100991e+46  2.540854e+46  2.658845e+46  1.441090e+46 -2.553618e+46 -1.044225e+47 -2.205185e+47 -3.556218e+47 -4.854570e+47 -6.030629e+47 -7.371398e+47 -9.424383e+47 -1.235695e+48 -1.458083e+48 -1.360624e+48 -2.123122e+47  2.679086e+48  5.603976e+48  1.506667e+49  1.765086e+49  1.982474e+49  6.657995e+49 -1.347289e+49  1.415234e+50  1.489536e+50 -8.986835e+49  7.278027e+50 -1.082690e+50  1.560344e+50  8.993942e+50  8.697994e+49 -1.626489e+51  2.240583e+51 -5.824014e+49 -3.239187e+51       100.0
x=4.04e+00       100.0  5.348183e+35  2.165542e+36  4.314138e+36  3.579465e+36 -7.618379e+36 -3.014445e+37 -4.389534e+37 -2.107437e+37  4.147157e+37  1.271117e+38  2.282613e+38  2.919482e+38  1.177077e+38 -5.123198e+38 -1.413255e+39 -1.855023e+39 -1.168132e+39  6.374277e+38  3.379838e+39  7.459384e+39  1.227489e+40  1.286540e+40  8.333259e+38 -2.668675e+40 -5.857171e+40 -7.571848e+40 -6.756800e+40 -3.237711e+40  4.980653e+40  2.274153e+41  5.109686e+41  7.625754e+41  6.935318e+41  6.950096e+40 -1.045475e+42 -2.345523e+42 -3.669923e+42 -5.135972e+42 -6.376186e+42 -5.333269e+42  1.587952e+42  1.667781e+43  3.706868e+43  5.432135e+43  5.986245e+43  5.133541e+43  2.969951e+43 -1.616887e+43 -1.221173e+44 -3.317081e+44 -6.409281e+44 -9.421693e+44 -1.036148e+45 -7.416009e+44 -2.348945e+43  1.023472e+45  2.422500e+45  4.615820e+45  8.386736e+45  1.406412e+46  2.027449e+46  2.327581e+46  1.803431e+46  1.045990e+45 -2.715171e+46 -6.304767e+46 -1.063551e+47 -1.678659e+47 -2.701734e+47 -4.325098e+47 -6.403748e+47 -8.170409e+47 -8.248882e+47 -5.145125e+47  1.827921e+47  1.234723e+48  2.534018e+48  3.964958e+48  6.781104e+48  1.037956e+49  1.741007e+49  3.567952e+49  3.072974e+49  7.952646e+49  7.584055e+49 -2.563338e+49  3.062640e+50 -2.945596e+50  1.602333e+50  4.923137e+50 -1.049800e+51  6.477943e+50  4.233830e+50 -2.606568e+51 -2.055657e+51  8.825927e+50 -8.830413e+51 -1.124768e+52       100.0
x=5.05e+00       100.0  1.777296e+36  3.824011e+36  9.943980e+35 -8.743739e+36 -2.394478e+37 -4.156554e+37 -3.968474e+37  3.180213e+37  1.869975e+38  3.161298e+38  2.446053e+38 -8.163019e+37 -5.893778e+38 -1.273553e+39 -2.019496e+39 -1.909481e+39  6.820009e+38  6.090270e+39  1.141686e+40  1.216707e+40  6.342934e+39 -5.650611e+39 -2.658128e+40 -6.132235e+40 -9.904675e+40 -9.689240e+40 -2.040448e+39  1.889868e+41  4.021754e+41  5.460558e+41  5.884402e+41  4.927748e+41  2.268838e+40 -1.262613e+42 -3.510877e+42 -5.874509e+42 -6.524521e+42 -3.866595e+42  2.125560e+42  1.043022e+43  2.144480e+43  3.782313e+43  5.942861e+43  7.422737e+43  5.566650e+43 -2.313455e+43 -1.640210e+44 -3.326649e+44 -4.836921e+44 -6.045846e+44 -7.156689e+44 -7.756766e+44 -5.423096e+44  4.447154e+44  2.603911e+45  5.852302e+45  9.332584e+45  1.175450e+46  1.228611e+46  1.113067e+46  8.607749e+45  2.521514e+45 -1.431302e+46 -5.294341e+46 -1.213283e+47 -2.140910e+47 -3.070473e+47 -3.651831e+47 -3.639291e+47 -3.077829e+47 -2.193702e+47 -8.223996e+46  2.453117e+47  1.074192e+48  2.804027e+48  5.763787e+48  9.657501e+48  1.395272e+49  1.828414e+49  1.797420e+49  2.494245e+49  2.412153e+49  9.043342e+48  9.775888e+49 -7.947238e+49  7.673659e+49  1.147124e+50 -9.035204e+50  6.544843e+50 -1.450662e+51 -1.649456e+51  3.155273e+50 -2.091759e+51 -6.042576e+51  1.469809e+51 -5.182052e+51 -1.649869e+52 -1.217732e+52       100.0
x=6.06e+00       100.0  2.308793e+36  2.992383e+36 -7.102095e+36 -3.040361e+37 -4.477570e+37 -1.945799e+37  5.004295e+37  1.542014e+38  2.869926e+38  3.433715e+38  2.832975e+37 -8.537404e+38 -1.869311e+39 -2.050639e+39 -8.222094e+38  1.645842e+39  5.467879e+39  1.104217e+40  1.555881e+40  1.023481e+40 -1.337707e+40 -5.020749e+40 -7.920798e+40 -8.083312e+40 -5.063481e+40  2.147444e+40  1.797025e+41  4.581797e+41  7.527401e+41  7.628483e+41  1.787744e+41 -9.953966e+41 -2.393012e+42 -3.690052e+42 -4.896134e+42 -5.690614e+42 -4.104547e+42  3.444323e+42  1.905215e+43  3.895309e+43  5.308949e+43  5.150478e+43  3.170384e+43 -4.583303e+42 -6.754301e+43 -1.890180e+44 -3.969346e+44 -6.533285e+44 -8.089114e+44 -6.483090e+44 -3.189990e+43  9.878317e+44  2.247089e+45  3.757381e+45  5.890765e+45  9.006455e+45  1.242205e+46  1.343859e+46  7.683189e+45 -8.571009e+45 -3.533934e+46 -6.814214e+46 -1.019075e+47 -1.377694e+47 -1.854546e+47 -2.526670e+47 -3.207310e+47 -3.209995e+47 -1.379251e+47  3.434119e+47  1.160921e+48  2.228416e+48  3.391795e+48  4.587800e+48  6.069354e+48  8.396001e+48  1.167110e+49  1.650220e+49  1.874258e+49  1.368915e+49  1.317788e+49 -4.474315e+49 -4.454866e+49 -6.819433e+49 -3.809104e+50  2.139192e+50 -8.330901e+50 -6.287011e+50  5.090050e+50 -3.830673e+51 -4.272722e+50 -1.263670e+51 -6.333359e+51 -4.786410e+51  6.564932e+51 -1.226415e+52 -9.415324e+51  1.288545e+52       100.0
x=7.07e+00       100.0  7.783455e+35 -5.130031e+36 -1.972619e+37 -4.095714e+37 -4.051321e+37  4.148507e+37  2.117688e+38  3.345779e+38  2.308026e+38 -1.358973e+38 -7.335240e+38 -1.612417e+39 -2.423141e+39 -1.675879e+39  2.355286e+39  8.817178e+39  1.328956e+40  1.146903e+40  2.631185e+39 -1.413785e+40 -4.458887e+40 -8.769613e+40 -1.113528e+41 -5.514536e+40  1.132433e+41  3.402833e+41  5.177680e+41  5.820533e+41  5.097750e+41  1.289680e+41 -9.758748e+41 -3.047357e+42 -5.374430e+42 -6.114409e+42 -3.470678e+42  2.704382e+42  1.109667e+43  2.138630e+43  3.536496e+43  5.206902e+43  5.885251e+43  2.984280e+43 -5.769349e+43 -1.969481e+44 -3.434567e+44 -4.454712e+44 -4.868576e+44 -4.749158e+44 -3.378974e+44  1.839454e+44  1.470999e+45  3.681318e+45  6.326923e+45  8.222592e+45  8.097187e+45  5.471577e+45  7.315789e+44 -6.405915e+45 -1.920755e+46 -4.424195e+46 -8.690626e+46 -1.428521e+47 -1.914534e+47 -1.997803e+47 -1.395322e+47 -5.755216e+45  1.849171e+47  4.322671e+47  8.117253e+47  1.500084e+48  2.699839e+48  4.446559e+48  6.384979e+48  7.688862e+48  7.421481e+48  4.762684e+48 -1.380602e+47 -5.120818e+48 -1.662844e+49 -2.327913e+49 -4.491700e+49 -1.385590e+50 -7.936386e+49 -4.336684e+50 -4.374787e+50 -2.439629e+49 -2.005106e+51  1.140133e+51 -1.421914e+51 -2.834530e+51  2.975012e+51 -2.307128e+51 -7.520926e+51  7.699402e+51  5.217214e+51 -1.045282e+52  1.963654e+52  5.947937e+52       100.0
x=8.08e+00       100.0 -2.800287e+36 -1.979653e+37 -3.518636e+37 -1.950511e+37  3.977252e+37  1.516691e+38  3.127503e+38  3.631950e+38 -5.554528e+37 -1.065166e+39 -2.038968e+39 -1.989383e+39 -5.340274e+38  2.313803e+39  7.225798e+39  1.390871e+40  1.640770e+40  3.632733e+39 -2.858874e+40 -6.591560e+40 -8.438401e+40 -7.182481e+40 -2.324986e+40  9.427518e+40  3.324529e+41  6.470519e+41  7.851131e+41  3.961637e+41 -6.277850e+41 -1.974170e+42 -3.232677e+42 -4.310171e+42 -4.995671e+42 -3.669806e+42  2.938042e+42  1.691379e+43  3.467616e+43  4.622317e+43  4.148796e+43  1.807233e+43 -2.148385e+43 -8.481873e+43 -1.968582e+44 -3.712104e+44 -5.511251e+44 -5.798341e+44 -2.687110e+44  4.550950e+44  1.464831e+45  2.561467e+45  3.740555e+45  5.232662e+45  6.957594e+45  7.584008e+45  4.154994e+45 -6.656778e+45 -2.582908e+46 -4.992913e+46 -7.250203e+46 -8.918459e+46 -1.018806e+47 -1.144034e+47 -1.164481e+47 -6.509155e+46  1.153766e+47  4.979252e+47  1.090339e+48  1.790851e+48  2.419629e+48  2.840366e+48  3.090068e+48  3.356183e+48  3.641595e+48  3.237011e+48  3.520065e+47 -8.266987e+48 -2.386101e+49 -4.823753e+49 -8.336593e+49 -9.475146e+49 -1.609366e+50 -1.650273e+50 -9.078958e+49 -6.573178e+50  2.618767e+50 -9.126729e+50 -1.315892e+51  2.942434e+51 -4.177571e+51  3.951263e+51  6.239848e+51 -7.317055e+50  3.133602e+51  2.823177e+52 -4.679765e+51  9.171994e+51  6.121855e+52  7.175856e+52       100.0
x=9.09e+00       100.0 -8.060839e+36 -2.856262e+37 -3.527536e+37  3.487745e+37  1.917917e+38  3.071459e+38  2.233763e+38 -1.092318e+38 -7.661459e+38 -1.837143e+39 -2.645033e+39 -1.248240e+39  3.742237e+39  1.024701e+40  1.342134e+40  1.022249e+40 -6.966255e+37 -2.204382e+40 -6.200029e+40 -1.051941e+41 -9.876596e+40  1.351273e+40  2.194511e+41  4.251622e+41  5.431788e+41  5.456505e+41  3.237659e+41 -4.810440e+41 -2.215277e+42 -4.451328e+42 -5.574971e+42 -3.705192e+42  1.610822e+42  9.141955e+42  1.814265e+43  2.979896e+43  4.313963e+43  4.677134e+43  1.757340e+43 -6.321547e+43 -1.848455e+44 -3.012464e+44 -3.624015e+44 -3.531323e+44 -2.741037e+44 -4.558139e+43  5.639621e+44  1.814043e+45  3.639225e+45  5.337228e+45  5.726290e+45  3.868922e+45 -2.608419e+44 -6.163649e+45 -1.445899e+46 -2.819903e+46 -5.114671e+46 -8.195902e+46 -1.076864e+47 -1.037335e+47 -4.508472e+46  7.655148e+46  2.462684e+47  4.458589e+47  6.941037e+47  1.068558e+48  1.655987e+48  2.414993e+48  3.019836e+48  2.830474e+48  1.113115e+48 -2.540326e+48 -7.927513e+48 -1.434158e+49 -2.182098e+49 -3.236747e+49 -4.734877e+49 -7.897169e+49 -1.135048e+50 -1.372604e+50 -2.376326e+50 -1.922593e+49 -1.654160e+50 -1.263241e+50  1.422728e+51 -1.656908e+51  3.155143e+51  1.818763e+51 -3.053036e+51  1.262137e+52  5.079690e+51  2.163016e+51  2.774411e+52  3.379366e+52 -1.126435e+52  4.305656e+52  8.465517e+52 -1.837610e+52       100.0
