            y=0.00e+00    y=1.01e+00    y=2.02e+00    y=3.03e+00    y=4.04e+00    y=5.05e+00    y=6.06e+00    y=7.07e+00    y=8.08e+00    y=9.09e+00    y=1.01e+01    y=1.11e+01    y=1.21e+01    y=1.31e+01    y=1.41e+01    y=1.52e+01    y=1.62e+01    y=1.72e+01    y=1.82e+01    y=1.92e+01    y=2.02e+01    y=2.12e+01    y=2.22e+01    y=2.32e+01    y=2.42e+01    y=2.53e+01    y=2.63e+01    y=2.73e+01    y=2.83e+01    y=2.93e+01    y=3.03e+01    y=3.13e+01    y=3.23e+01    y=3.33e+01    y=3.43e+01    y=3.54e+01    y=3.64e+01    y=3.74e+01    y=3.84e+01    y=3.94e+01    y=4.04e+01    y=4.14e+01    y=4.24e+01    y=4.34e+01    y=4.44e+01    y=4.55e+01    y=4.65e+01    y=4.75e+01    y=4.85e+01    y=4.95e+01    y=5.05e+01    y=5.15e+01    y=5.25e+01    y=5.35e+01    y=5.45e+01    y=5.56e+01    y=5.66e+01    y=5.76e+01    y=5.86e+01    y=5.96e+01    y=6.06e+01    y=6.16e+01    y=6.26e+01    y=6.36e+01    y=6.46e+01    y=6.57e+01    y=6.67e+01    y=6.77e+01    y=6.87e+01    y=6.97e+01    y=7.07e+01    y=7.17e+01    y=7.27e+01    y=7.37e+01    y=7.47e+01    y=7.58e+01    y=7.68e+01    y=7.78e+01    y=7.88e+01    y=7.98e+01    y=8.08e+01    y=8.18e+01    y=8.28e+01    y=8.38e+01    y=8.48e+01    y=8.59e+01    y=8.69e+01    y=8.79e+01    y=8.89e+01    y=8.99e+01    y=9.09e+01    y=9.19e+01    y=9.29e+01    y=9.39e+01    y=9.49e+01    y=9.60e+01    y=9.70e+01    y=9.80e+01    y=9.90e+01  y=1.00e+02
x=0.00e+00       100.0  8.414380e+10  9.770512e+10  1.043508e+11  1.076076e+11  1.092036e+11  1.099857e+11  1.103689e+11  1.105567e+11  1.106488e+11  1.106939e+11  1.107160e+11  1.107268e+11  1.107321e+11  1.107347e+11  1.107360e+11  1.107366e+11  1.107369e+11  1.107371e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11       100.0
x=1.01e+00       100.0  1.576070e+63 -2.960690e+63  4.000759e+63 -4.609238e+63  4.775323e+63 -4.556127e+63  4.054541e+63 -3.391287e+63  2.679350e+63 -2.006481e+63  1.427805e+63 -9.672807e+62  6.247775e+62 -3.852120e+62  2.269316e+62 -1.278379e+62  6.891098e+61 -3.556580e+61  1.758357e+61 -8.330980e+60  3.784047e+60 -1.648238e+60  6.886422e+59 -2.760334e+59  1.061654e+59 -3.918231e+58  1.387671e+58 -4.715641e+57  1.537365e+57 -4.806791e+56  1.440555e+56 -4.134060e+55  1.134422e+55 -2.977435e+54  7.627297e+53 -2.191171e+53  1.070486e+53 -9.877807e+52  1.112864e+53 -1.243221e+53  1.331668e+53 -1.369663e+53  1.359553e+53 -1.307735e+53  1.222371e+53 -1.112055e+53  9.848261e+52 -8.475191e+52  7.055231e+52 -5.629560e+52  4.231636e+52 -2.893759e+52  1.653054e+52 -5.548496e+51 -3.478790e+51  9.989542e+51 -1.344597e+52  1.330491e+52 -8.571397e+51 -4.244170e+51  3.894580e+52 -1.476185e+53  5.161134e+53 -1.776241e+54  5.982648e+54 -1.953467e+55  6.151860e+55 -1.864090e+56  5.428393e+56 -1.518028e+57  4.073723e+57 -1.048314e+58  2.584790e+58 -6.100746e+58  1.376831e+59 -2.967140e+59  6.095990e+59 -1.191541e+60  2.209962e+60 -3.875603e+60  6.394903e+60 -9.856223e+60  1.402618e+61 -1.805584e+61  2.014729e+61 -1.730588e+61  5.377949e+60  2.039877e+61 -6.418259e+61  1.277221e+62 -2.083586e+62  2.975672e+62 -3.809024e+62  4.399889e+62 -4.565541e+62  4.176256e+62 -3.202706e+62  1.740579e+62       100.0
x=2.02e+00       100.0 -2.969826e+63  5.578690e+63 -7.537977e+63  8.683679e+63 -8.995574e+63  8.581490e+63 -7.635520e+63  6.385293e+63 -5.043761e+63  3.776228e+63 -2.686455e+63  1.819449e+63 -1.174841e+63  7.241180e+62 -4.264318e+62  2.401314e+62 -1.293904e+62  6.675131e+61 -3.298658e+61  1.562136e+61 -7.091878e+60  3.087422e+60 -1.289231e+60  5.164748e+59 -1.985228e+59  7.322290e+58 -2.591566e+58  8.800863e+57 -2.867210e+57  8.958260e+56 -2.682678e+56  7.692380e+55 -2.108944e+55  5.530306e+54 -1.417551e+54  4.114285e+53 -2.067508e+53  1.944017e+53 -2.201098e+53  2.461832e+53 -2.637895e+53  2.713102e+53 -2.691998e+53  2.587148e+53 -2.414775e+53  2.192140e+53 -1.935535e+53  1.658928e+53 -1.373429e+53  1.087580e+53 -8.083094e+52  5.422084e+52 -2.967022e+52  8.071716e+51  9.542408e+51 -2.208742e+52  2.853862e+52 -2.788855e+52  1.833528e+52  6.474941e+51 -7.186703e+52  2.737603e+53 -9.550672e+53  3.282885e+54 -1.105590e+55  3.611396e+55 -1.137924e+56  3.449984e+56 -1.005186e+57  2.812232e+57 -7.549617e+57  1.943337e+58 -4.792487e+58  1.131218e+59 -2.552767e+59  5.499987e+59 -1.129455e+60  2.206055e+60 -4.087113e+60  7.156092e+60 -1.178023e+61  1.809306e+61 -2.560754e+61  3.266064e+61 -3.578622e+61  2.925496e+61 -5.160237e+60 -4.552032e+61  1.306071e+62 -2.532801e+62  4.082874e+62 -5.791897e+62  7.382890e+62 -8.504504e+62  8.808087e+62 -8.046803e+62  6.165889e+62 -3.349433e+62       100.0
x=3.03e+00       100.0  4.033759e+63 -7.576770e+63  1.023674e+64 -1.179092e+64  1.221215e+64 -1.164735e+64  1.036064e+64 -8.661524e+63  6.839365e+63 -5.118580e+63  3.639849e+63 -2.463988e+63  1.590211e+63 -9.795906e+62  5.765365e+62 -3.244521e+62  1.747071e+62 -9.006532e+61  4.447408e+61 -2.104470e+61  9.546005e+60 -4.152173e+60  1.732254e+60 -6.932883e+59  2.662204e+59 -9.809048e+58  3.467958e+58 -1.176389e+58  3.828082e+57 -1.194596e+57  3.572849e+56 -1.023082e+56  2.800576e+55 -7.332810e+54  1.881530e+54 -5.558629e+53  2.927017e+53 -2.835112e+53  3.235337e+53 -3.625897e+53  3.887894e+53 -3.998994e+53  3.965586e+53 -3.805902e+53  3.544001e+53 -3.205916e+53  2.816570e+53 -2.397628e+53  1.966543e+53 -1.536858e+53  1.119519e+53 -7.246988e+52  3.634942e+52 -4.891160e+51 -2.042700e+52  3.807539e+52 -4.664081e+52  4.479645e+52 -3.026461e+52 -5.084534e+51  9.412370e+52 -3.622191e+53  1.259050e+54 -4.318114e+54  1.453790e+55 -4.751675e+55  1.498562e+56 -4.547582e+56  1.326116e+57 -3.712871e+57  9.973557e+57 -2.568468e+58  6.335967e+58 -1.495675e+59  3.374715e+59 -7.267691e+59  1.491264e+60 -2.909029e+60  5.379231e+60 -9.392181e+60  1.539795e+61 -2.350392e+61  3.294247e+61 -4.131227e+61  4.372915e+61 -3.221613e+61 -4.146610e+60  7.772493e+61 -1.991084e+62  3.723596e+62 -5.898008e+62  8.282578e+62 -1.049030e+63  1.203246e+63 -1.242568e+63  1.132927e+63 -8.669951e+62  4.706284e+62       100.0
x=4.04e+00       100.0 -4.680753e+63  8.791281e+63 -1.187591e+64  1.367618e+64 -1.416106e+64  1.350183e+64 -1.200573e+64  1.003248e+64 -7.918023e+63  5.922603e+63 -4.209047e+63  2.847420e+63 -1.836351e+63  1.130339e+63 -6.647063e+62  3.737384e+62 -2.010561e+62  1.035450e+62 -5.107624e+61  2.414184e+61 -1.093807e+61  4.751829e+60 -1.979880e+60  7.913312e+59 -3.034439e+59  1.116431e+59 -3.941149e+58  1.334809e+58 -4.336535e+57  1.350974e+57 -4.033333e+56  1.152694e+56 -3.148392e+55  8.224970e+54 -2.113643e+54  6.410115e+53 -3.601408e+53  3.624726e+53 -4.178935e+53  4.697114e+53 -5.042387e+53  5.187871e+53 -5.141136e+53  4.925287e+53 -4.571809e+53  4.115568e+53 -3.590596e+53  3.026995e+53 -2.449401e+53  1.877127e+53 -1.325685e+53  8.090501e+52 -3.418329e+52 -5.943669e+51  3.764292e+52 -5.905726e+52  6.852456e+52 -6.458728e+52  4.489105e+52 -8.121348e+50 -1.033837e+53  4.054714e+53 -1.402131e+54  4.791997e+54 -1.612322e+55  5.273875e+55 -1.665284e+56  5.059989e+56 -1.477285e+57  4.140371e+57 -1.113126e+58  2.868399e+58 -7.078514e+58  1.671108e+59 -3.769576e+59  8.112530e+59 -1.662597e+60  3.237059e+60 -5.968747e+60  1.037789e+61 -1.690882e+61  2.556764e+61 -3.529330e+61  4.307007e+61 -4.294608e+61  2.534928e+61  2.268531e+61 -1.156900e+62  2.659054e+62 -4.776364e+62  7.410989e+62 -1.028039e+63  1.291804e+63 -1.473819e+63  1.516403e+63 -1.379136e+63  1.053692e+63 -5.714457e+62       100.0
x=5.05e+00       100.0  4.894366e+63 -9.191454e+63  1.241418e+64 -1.429232e+64  1.479408e+64 -1.409961e+64  1.253122e+64 -1.046576e+64  8.254774e+63 -6.170140e+63  4.381557e+63 -2.961601e+63  1.908225e+63 -1.173410e+63  6.892963e+62 -3.871218e+62  2.080028e+62 -1.069847e+62  5.270118e+61 -2.487420e+61  1.125290e+61 -4.880886e+60  2.030293e+60 -8.100813e+59  3.100755e+59 -1.138697e+59  4.011941e+58 -1.356046e+58  4.396310e+57 -1.366605e+57  4.070549e+56 -1.160362e+56  3.159924e+55 -8.229205e+54  2.118946e+54 -6.662064e+53  4.062932e+53 -4.275422e+53  4.989059e+53 -5.629605e+53  6.054161e+53 -6.232502e+53  6.172371e+53 -5.900640e+53  5.455574e+53 -4.880819e+53  4.219978e+53 -3.512403e+53  2.790843e+53 -2.081205e+53  1.404101e+53 -7.774123e+52  2.188629e+52  2.523784e+52 -6.157217e+52  8.508772e+52 -9.404482e+52  8.706043e+52 -6.208783e+52  1.119887e+52  9.983832e+52 -4.052199e+53  1.392214e+54 -4.733749e+54  1.590870e+55 -5.208081e+55  1.647000e+56 -5.012510e+56  1.465615e+57 -4.112984e+57  1.106922e+58 -2.854586e+58  7.047478e+58 -1.663858e+59  3.751653e+59 -8.065948e+59  1.650203e+60 -3.204306e+60  5.884701e+60 -1.017136e+61  1.642632e+61 -2.449963e+61  3.305651e+61 -3.863952e+61  3.464670e+61 -1.064731e+61 -4.731028e+61  1.546719e+62 -3.241817e+62  5.598043e+62 -8.501507e+62  1.163862e+63 -1.449830e+63  1.644309e+63 -1.684850e+63  1.527996e+63 -1.165263e+63  6.312918e+62       100.0
x=6.06e+00       100.0 -4.722615e+63  8.867700e+63 -1.197418e+64  1.378135e+64 -1.425933e+64  1.358316e+64 -1.206508e+64  1.006959e+64 -7.936176e+63  5.926893e+63 -4.204821e+63  2.839186e+63 -1.827284e+63  1.122268e+63 -6.583927e+62  3.692495e+62 -1.981053e+62  1.017337e+62 -5.003115e+61  2.357261e+61 -1.064444e+61  4.608058e+60 -1.912934e+60  7.616460e+59 -2.908951e+59  1.065818e+59 -3.746244e+58  1.263116e+58 -4.084529e+57  1.266281e+57 -3.760924e+56  1.068661e+56 -2.898978e+55  7.517161e+54 -1.940242e+54  6.398340e+53 -4.303820e+53  4.752848e+53 -5.621644e+53  6.374776e+53 -6.872586e+53  7.082031e+53 -7.009702e+53  6.684854e+53 -6.151653e+53  5.462276e+53 -4.670236e+53  3.824854e+53 -2.967852e+53  2.132443e+53 -1.344674e+53  6.261446e+52  3.074868e+50 -5.224840e+52  9.109386e+52 -1.148336e+53  1.218414e+53 -1.110037e+53  8.088169e+52 -2.511719e+52 -8.576863e+52  3.702913e+53 -1.263141e+54  4.264349e+54 -1.430310e+55  4.686231e+55 -1.484586e+56  4.526926e+56 -1.326007e+57  3.726933e+57 -1.004257e+58  2.592075e+58 -6.402244e+58  1.511447e+59 -3.405772e+59  7.312030e+59 -1.492411e+60  2.887289e+60 -5.273498e+60  9.040868e+60 -1.442094e+61  2.108894e+61 -2.749656e+61  2.995495e+61 -2.165306e+61 -7.967733e+60  7.283551e+61 -1.881551e+62  3.661717e+62 -6.100979e+62  9.076026e+62 -1.226315e+63  1.514194e+63 -1.706808e+63  1.741382e+63 -1.574571e+63  1.198439e+63 -6.485454e+62       100.0
x=7.07e+00       100.0  4.258978e+63 -7.995829e+63  1.079397e+64 -1.241834e+64  1.284282e+64 -1.222658e+64  1.085253e+64 -9.050296e+63  7.126331e+63 -5.316667e+63  3.767659e+63 -2.540877e+63  1.633111e+63 -1.001568e+63  5.866745e+62 -3.284844e+62  1.759252e+62 -9.017532e+61  4.425975e+61 -2.081018e+61  9.376586e+60 -4.049930e+60  1.677225e+60 -6.661318e+59  2.537542e+59 -9.272212e+58  3.249929e+58 -1.092574e+58  3.522309e+57 -1.088496e+57  3.221772e+56 -9.118538e+55  2.461351e+55 -6.344507e+54  1.641775e+54 -5.759141e+53  4.334513e+53 -5.031773e+53  6.039112e+53 -6.889178e+53  7.451169e+53 -7.689044e+53  7.606746e+53 -7.234386e+53  6.620931e+53 -5.826609e+53  4.914925e+53 -3.945645e+53  2.970028e+53 -2.028972e+53  1.153897e+53 -3.694682e+52 -3.031721e+52  8.439857e+52 -1.233392e+53  1.453648e+53 -1.491579e+53  1.340356e+53 -9.934031e+52  4.073167e+52  6.475354e+52 -3.130832e+53  1.061242e+54 -3.549272e+54  1.186881e+55 -3.891255e+55  1.235174e+56 -3.774762e+56  1.107971e+57 -3.119592e+57  8.417602e+57 -2.174673e+58  5.373457e+58 -1.268288e+59  2.855032e+59 -6.117620e+59  1.244604e+60 -2.395963e+60  4.343722e+60 -7.364033e+60  1.154412e+61 -1.640453e+61  2.027813e+61 -1.946977e+61  7.374268e+60  2.605219e+61 -9.386717e+61  2.101110e+62 -3.857878e+62  6.231665e+62 -9.097281e+62  1.214060e+63 -1.486359e+63  1.665417e+63 -1.691951e+63  1.525355e+63 -1.158716e+63  6.263528e+62       100.0
x=8.08e+00       100.0 -3.617322e+63  6.789913e+63 -9.163191e+63  1.053756e+64 -1.089166e+64  1.036196e+64 -9.190039e+63  7.656763e+63 -6.022698e+63  4.488012e+63 -3.176306e+63  2.139033e+63 -1.372714e+63  8.404702e+62 -4.914322e+62  2.746332e+62 -1.467862e+62  7.507775e+61 -3.676596e+61  1.724539e+61 -7.750854e+60  3.338924e+60 -1.378960e+60  5.460951e+59 -2.074034e+59  7.554872e+58 -2.639397e+58  8.843262e+57 -2.840905e+57  8.746584e+56 -2.578335e+56  7.262426e+55 -1.947825e+55  4.979014e+54 -1.291373e+54  4.903385e+53 -4.181416e+53  5.102440e+53 -6.218782e+53  7.143325e+53 -7.756249e+53  8.017906e+53 -7.928171e+53  7.516496e+53 -6.835436e+53  5.952525e+53 -4.940988e+53  3.871058e+53 -2.803600e+53  1.787011e+53 -8.574139e+52  4.126181e+51  6.410900e+52 -1.172360e+53  1.536992e+53 -1.721908e+53  1.718841e+53 -1.526350e+53  1.145991e+53 -5.547639e+52 -4.086126e+52  2.460480e+53 -8.318709e+53  2.750504e+54 -9.159367e+54  3.004386e+55 -9.557350e+55  2.928087e+56 -8.614479e+56  2.430207e+57 -6.567145e+57  1.698192e+58 -4.197307e+58  9.901936e+58 -2.225756e+59  4.756341e+59 -9.634408e+59  1.842352e+60 -3.306539e+60  5.519650e+60 -8.441003e+60  1.148653e+61 -1.298237e+61  9.437309e+60  5.204311e+60 -3.997916e+61  1.064645e+62 -2.169153e+62  3.806576e+62 -5.990306e+62  8.600666e+62 -1.134948e+63  1.378592e+63 -1.535998e+63  1.554200e+63 -1.397216e+63  1.059395e+63 -5.720529e+62       100.0
x=9.09e+00       100.0  2.907982e+63 -5.457287e+63  7.362174e+63 -8.462230e+63  8.741044e+63 -8.309495e+63  7.362964e+63 -6.128052e+63  4.814483e+63 -3.582890e+63  2.531993e+63 -1.702387e+63  1.090590e+63 -6.664755e+62  3.889073e+62 -2.168685e+62  1.156457e+62 -5.900606e+61  2.882122e+61 -1.348219e+61  6.042237e+60 -2.595107e+60  1.068416e+60 -4.217319e+59  1.596257e+59 -5.793909e+58  2.016716e+58 -6.731045e+57  2.153673e+57 -6.602435e+56  1.937041e+56 -5.424243e+55  1.442717e+55 -3.643963e+54  9.464535e+53 -3.979016e+53  3.884744e+53 -4.975366e+53  6.159641e+53 -7.129162e+53  7.774732e+53 -8.052476e+53  7.957137e+53 -7.516233e+53  6.784678e+53 -5.836316e+53  4.753359e+53 -3.615928e+53  2.493848e+53 -1.442066e+53  4.999745e+52  3.061647e+52 -9.592385e+52  1.447432e+53 -1.761872e+53  1.896387e+53 -1.849106e+53  1.624387e+53 -1.230907e+53  6.628758e+52  1.804880e+52 -1.793036e+53  6.101101e+53 -1.992784e+54  6.603384e+54 -2.167008e+55  6.910464e+55 -2.123104e+56  6.262215e+56 -1.770331e+57  4.791294e+57 -1.240047e+58  3.065152e+58 -7.224535e+58  1.620481e+59 -3.450005e+59  6.947072e+59 -1.316484e+60  2.330225e+60 -3.805907e+60  5.610685e+60 -7.119955e+60  6.760698e+60 -1.413476e+60 -1.418779e+61  4.776326e+61 -1.090635e+62  2.082490e+62 -3.528169e+62  5.433369e+62 -7.690076e+62  1.004754e+63 -1.211830e+63  1.343298e+63 -1.354203e+63  1.214252e+63 -9.190737e+62  4.957899e+62       100.0
