            y=0.00e+00    y=1.11e+00    y=2.22e+00    y=3.33e+00    y=4.44e+00    y=5.56e+00    y=6.67e+00    y=7.78e+00    y=8.89e+00  y=1.00e+01
x=0.00e+00         0.0  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00         0.0
x=1.11e+00         0.0  6.157526e-14  1.015101e-10  1.420122e-08  1.730140e-07  2.373332e-07  1.102800e-07  4.476490e-08  1.812985e-08         0.0
x=2.22e+00         0.0  1.015101e-10  1.673447e-07  2.341148e-05  2.852250e-04  3.912856e-04  1.818533e-04  7.383597e-05  2.991101e-05         0.0
x=3.33e+00         0.0  1.420122e-08  2.341148e-05  3.275281e-03  3.990640e-02  5.478495e-02  2.551787e-02  1.038798e-02  4.219260e-03         0.0
x=4.44e+00         0.0  1.730140e-07  2.852250e-04  3.990640e-02  4.866746e-01  6.736415e-01  3.216239e-01  1.347405e-01  5.627887e-02         0.0
x=5.56e+00         0.0  2.373332e-07  3.912856e-04  5.478495e-02  6.736415e-01  1.000000e+00  5.737221e-01  2.872030e-01  1.391103e-01         0.0
x=6.67e+00         0.0  1.102800e-07  1.818533e-04  2.551787e-02  3.216239e-01  5.737221e-01  4.679712e-01  3.058689e-01  1.802166e-01         0.0
x=7.78e+00         0.0  4.476490e-08  7.383597e-05  1.038798e-02  1.347405e-01  2.872030e-01  3.058689e-01  2.477540e-01  1.733281e-01         0.0
x=8.89e+00         0.0  1.812985e-08  2.991101e-05  4.219260e-03  5.627887e-02  1.391103e-01  1.802166e-01  1.733281e-01  1.403957e-01         0.0
x=1.00e+01         0.0  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00         0.0
