            y=0.00e+00    y=1.11e+00    y=2.22e+00    y=3.33e+00    y=4.44e+00    y=5.56e+00    y=6.67e+00    y=7.78e+00    y=8.89e+00  y=1.00e+01
x=0.00e+00         0.0  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00         0.0
x=1.11e+00         0.0  1.355237e-13  2.233631e-10  3.116561e-08  3.681355e-07  3.681355e-07  3.116561e-08  2.233631e-10  1.355237e-13         0.0
x=2.22e+00         0.0  2.233631e-10  3.681355e-07  5.136553e-05  6.067417e-04  6.067417e-04  5.136553e-05  3.681355e-07  2.233631e-10         0.0
x=3.33e+00         0.0  3.116561e-08  5.136553e-05  7.166975e-03  8.465799e-02  8.465799e-02  7.166975e-03  5.136553e-05  3.116561e-08         0.0
x=4.44e+00         0.0  3.681355e-07  6.067417e-04  8.465799e-02  1.000000e+00  1.000000e+00  8.465799e-02  6.067417e-04  3.681355e-07         0.0
x=5.56e+00         0.0  3.681355e-07  6.067417e-04  8.465799e-02  1.000000e+00  1.000000e+00  8.465799e-02  6.067417e-04  3.681355e-07         0.0
x=6.67e+00         0.0  3.116561e-08  5.136553e-05  7.166975e-03  8.465799e-02  8.465799e-02  7.166975e-03  5.136553e-05  3.116561e-08         0.0
x=7.78e+00         0.0  2.233631e-10  3.681355e-07  5.136553e-05  6.067417e-04  6.067417e-04  5.136553e-05  3.681355e-07  2.233631e-10         0.0
x=8.89e+00         0.0  1.355237e-13  2.233631e-10  3.116561e-08  3.681355e-07  3.681355e-07  3.116561e-08  2.233631e-10  1.355237e-13         0.0
x=1.00e+01         0.0  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00         0.0
