              y=0.00e+00    y=1.01e+00    y=2.02e+00    y=3.03e+00    y=4.04e+00    y=5.05e+00    y=6.06e+00    y=7.07e+00    y=8.08e+00    y=9.09e+00    y=1.01e+01    y=1.11e+01    y=1.21e+01    y=1.31e+01    y=1.41e+01    y=1.52e+01    y=1.62e+01    y=1.72e+01    y=1.82e+01    y=1.92e+01    y=2.02e+01    y=2.12e+01    y=2.22e+01    y=2.32e+01    y=2.42e+01    y=2.53e+01    y=2.63e+01    y=2.73e+01    y=2.83e+01    y=2.93e+01    y=3.03e+01    y=3.13e+01    y=3.23e+01    y=3.33e+01    y=3.43e+01    y=3.54e+01    y=3.64e+01    y=3.74e+01    y=3.84e+01    y=3.94e+01    y=4.04e+01    y=4.14e+01    y=4.24e+01    y=4.34e+01    y=4.44e+01    y=4.55e+01    y=4.65e+01    y=4.75e+01    y=4.85e+01    y=4.95e+01    y=5.05e+01    y=5.15e+01    y=5.25e+01    y=5.35e+01    y=5.45e+01    y=5.56e+01    y=5.66e+01    y=5.76e+01    y=5.86e+01    y=5.96e+01    y=6.06e+01    y=6.16e+01    y=6.26e+01    y=6.36e+01    y=6.46e+01    y=6.57e+01    y=6.67e+01    y=6.77e+01    y=6.87e+01    y=6.97e+01    y=7.07e+01    y=7.17e+01    y=7.27e+01    y=7.37e+01    y=7.47e+01    y=7.58e+01    y=7.68e+01    y=7.78e+01    y=7.88e+01    y=7.98e+01    y=8.08e+01    y=8.18e+01    y=8.28e+01    y=8.38e+01    y=8.48e+01    y=8.59e+01    y=8.69e+01    y=8.79e+01    y=8.89e+01    y=8.99e+01    y=9.09e+01    y=9.19e+01    y=9.29e+01    y=9.39e+01    y=9.49e+01    y=9.60e+01    y=9.70e+01    y=9.80e+01    y=9.90e+01    y=1.00e+02
x=0.00e+00  5.647045e+10  8.414380e+10  9.770512e+10  1.043508e+11  1.076076e+11  1.092036e+11  1.099857e+11  1.103689e+11  1.105567e+11  1.106488e+11  1.106939e+11  1.107160e+11  1.107268e+11  1.107321e+11  1.107347e+11  1.107360e+11  1.107366e+11  1.107369e+11  1.107371e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11  1.107372e+11
x=1.01e+00  8.414380e+10  1.389398e+11  1.724383e+11  1.921110e+11  2.033475e+11  2.096361e+11  2.131011e+11  2.149869e+11  2.160031e+11  2.165462e+11  2.168345e+11  2.169866e+11  2.170664e+11  2.171081e+11  2.171298e+11  2.171411e+11  2.171469e+11  2.171500e+11  2.171515e+11  2.171523e+11  2.171527e+11  2.171529e+11  2.171530e+11  2.171531e+11  2.171531e+11  2.171531e+11  2.171531e+11  2.171531e+11  2.171531e+11  2.171531e+11  2.171531e+11  2.171531e+11  2.171531e+11  2.171531e+11  2.171531e+11  2.171531e+11  2.171531e+11  2.171531e+11  2.171531e+11  2.171531e+11  2.171531e+11  2.171531e+11  2.171531e+11  2.171531e+11  2.171531e+11  2.171531e+11  2.171531e+11  2.171531e+11  2.171531e+11  2.171531e+11  2.171531e+11  2.171531e+11  2.171531e+11  2.171531e+11  2.171531e+11  2.171531e+11  2.171531e+11  2.171531e+11  2.171531e+11  2.171531e+11  2.171531e+11  2.171531e+11  2.171531e+11  2.171531e+11  2.171531e+11  2.171531e+11  2.171531e+11  2.171531e+11  2.171531e+11  2.171531e+11  2.171531e+11  2.171531e+11  2.171531e+11  2.171531e+11  2.171531e+11  2.171531e+11  2.171531e+11  2.171531e+11  2.171531e+11  2.171531e+11  2.171531e+11  2.171531e+11  2.171531e+11  2.171531e+11  2.171531e+11  2.171531e+11  2.171531e+11  2.171531e+11  2.171531e+11  2.171531e+11  2.171531e+11  2.171531e+11  2.171531e+11  2.171531e+11  2.171531e+11  2.171531e+11  2.171531e+11  2.171531e+11  2.171531e+11  2.171531e+11
x=2.02e+00  9.770512e+10  1.724383e+11  2.254772e+11  2.611095e+11  2.840776e+11  2.984149e+11  3.071389e+11  3.123382e+11  3.153841e+11  3.171429e+11  3.181461e+11  3.187122e+11  3.190288e+11  3.192043e+11  3.193010e+11  3.193539e+11  3.193827e+11  3.193983e+11  3.194067e+11  3.194112e+11  3.194136e+11  3.194149e+11  3.194155e+11  3.194159e+11  3.194161e+11  3.194162e+11  3.194162e+11  3.194163e+11  3.194163e+11  3.194163e+11  3.194163e+11  3.194163e+11  3.194163e+11  3.194163e+11  3.194163e+11  3.194163e+11  3.194163e+11  3.194163e+11  3.194163e+11  3.194163e+11  3.194163e+11  3.194163e+11  3.194163e+11  3.194163e+11  3.194163e+11  3.194163e+11  3.194163e+11  3.194163e+11  3.194163e+11  3.194163e+11  3.194163e+11  3.194163e+11  3.194163e+11  3.194163e+11  3.194163e+11  3.194163e+11  3.194163e+11  3.194163e+11  3.194163e+11  3.194163e+11  3.194163e+11  3.194163e+11  3.194163e+11  3.194163e+11  3.194163e+11  3.194163e+11  3.194163e+11  3.194163e+11  3.194163e+11  3.194163e+11  3.194163e+11  3.194163e+11  3.194163e+11  3.194163e+11  3.194163e+11  3.194163e+11  3.194163e+11  3.194163e+11  3.194163e+11  3.194163e+11  3.194163e+11  3.194163e+11  3.194163e+11  3.194163e+11  3.194163e+11  3.194163e+11  3.194163e+11  3.194163e+11  3.194163e+11  3.194163e+11  3.194163e+11  3.194163e+11  3.194163e+11  3.194163e+11  3.194163e+11  3.194163e+11  3.194163e+11  3.194163e+11  3.194163e+11  3.194163e+11
x=3.03e+00  1.043508e+11  1.921110e+11  2.611095e+11  3.123839e+11  3.487664e+11  3.736217e+11  3.900771e+11  4.006891e+11  4.073821e+11  4.115240e+11  4.140453e+11  4.155582e+11  4.164548e+11  4.169802e+11  4.172851e+11  4.174604e+11  4.175604e+11  4.176171e+11  4.176489e+11  4.176668e+11  4.176767e+11  4.176822e+11  4.176852e+11  4.176868e+11  4.176877e+11  4.176882e+11  4.176885e+11  4.176886e+11  4.176887e+11  4.176888e+11  4.176888e+11  4.176888e+11  4.176888e+11  4.176888e+11  4.176888e+11  4.176888e+11  4.176888e+11  4.176888e+11  4.176888e+11  4.176888e+11  4.176888e+11  4.176888e+11  4.176888e+11  4.176888e+11  4.176888e+11  4.176888e+11  4.176888e+11  4.176888e+11  4.176888e+11  4.176888e+11  4.176888e+11  4.176888e+11  4.176888e+11  4.176888e+11  4.176888e+11  4.176888e+11  4.176888e+11  4.176888e+11  4.176888e+11  4.176888e+11  4.176888e+11  4.176888e+11  4.176888e+11  4.176888e+11  4.176888e+11  4.176888e+11  4.176888e+11  4.176888e+11  4.176888e+11  4.176888e+11  4.176888e+11  4.176888e+11  4.176888e+11  4.176888e+11  4.176888e+11  4.176888e+11  4.176888e+11  4.176888e+11  4.176888e+11  4.176888e+11  4.176888e+11  4.176888e+11  4.176888e+11  4.176888e+11  4.176888e+11  4.176888e+11  4.176888e+11  4.176888e+11  4.176888e+11  4.176888e+11  4.176888e+11  4.176888e+11  4.176888e+11  4.176888e+11  4.176888e+11  4.176888e+11  4.176888e+11  4.176888e+11  4.176888e+11  4.176888e+11
x=4.04e+00  1.076076e+11  2.033475e+11  2.840776e+11  3.487664e+11  3.982964e+11  4.347489e+11  4.606765e+11  4.785826e+11  4.906375e+11  4.985747e+11  5.036998e+11  5.069529e+11  5.089864e+11  5.102404e+11  5.110043e+11  5.114646e+11  5.117392e+11  5.119015e+11  5.119966e+11  5.120520e+11  5.120840e+11  5.121024e+11  5.121128e+11  5.121188e+11  5.121221e+11  5.121240e+11  5.121251e+11  5.121257e+11  5.121260e+11  5.121262e+11  5.121263e+11  5.121263e+11  5.121264e+11  5.121264e+11  5.121264e+11  5.121264e+11  5.121264e+11  5.121264e+11  5.121264e+11  5.121264e+11  5.121264e+11  5.121264e+11  5.121264e+11  5.121264e+11  5.121264e+11  5.121264e+11  5.121264e+11  5.121264e+11  5.121264e+11  5.121264e+11  5.121264e+11  5.121264e+11  5.121264e+11  5.121264e+11  5.121264e+11  5.121264e+11  5.121264e+11  5.121264e+11  5.121264e+11  5.121264e+11  5.121264e+11  5.121264e+11  5.121264e+11  5.121264e+11  5.121264e+11  5.121264e+11  5.121264e+11  5.121264e+11  5.121264e+11  5.121264e+11  5.121264e+11  5.121264e+11  5.121264e+11  5.121264e+11  5.121264e+11  5.121264e+11  5.121264e+11  5.121264e+11  5.121264e+11  5.121264e+11  5.121264e+11  5.121264e+11  5.121264e+11  5.121264e+11  5.121264e+11  5.121264e+11  5.121264e+11  5.121264e+11  5.121264e+11  5.121264e+11  5.121264e+11  5.121264e+11  5.121264e+11  5.121264e+11  5.121264e+11  5.121264e+11  5.121264e+11  5.121264e+11  5.121264e+11  5.121264e+11
x=5.05e+00  1.092036e+11  2.096361e+11  2.984149e+11  3.736217e+11  4.347489e+11  4.825679e+11  5.187073e+11  5.451924e+11  5.640789e+11  5.772238e+11  5.861771e+11  5.921588e+11  5.960867e+11  5.986260e+11  6.002448e+11  6.012636e+11  6.018975e+11  6.022876e+11  6.025254e+11  6.026691e+11  6.027552e+11  6.028064e+11  6.028366e+11  6.028544e+11  6.028647e+11  6.028707e+11  6.028741e+11  6.028761e+11  6.028772e+11  6.028779e+11  6.028782e+11  6.028784e+11  6.028786e+11  6.028786e+11  6.028787e+11  6.028787e+11  6.028787e+11  6.028787e+11  6.028787e+11  6.028787e+11  6.028787e+11  6.028787e+11  6.028787e+11  6.028787e+11  6.028787e+11  6.028787e+11  6.028787e+11  6.028787e+11  6.028787e+11  6.028787e+11  6.028787e+11  6.028787e+11  6.028787e+11  6.028787e+11  6.028787e+11  6.028787e+11  6.028787e+11  6.028787e+11  6.028787e+11  6.028787e+11  6.028787e+11  6.028787e+11  6.028787e+11  6.028787e+11  6.028787e+11  6.028787e+11  6.028787e+11  6.028787e+11  6.028787e+11  6.028787e+11  6.028787e+11  6.028787e+11  6.028787e+11  6.028787e+11  6.028787e+11  6.028787e+11  6.028787e+11  6.028787e+11  6.028787e+11  6.028787e+11  6.028787e+11  6.028787e+11  6.028787e+11  6.028787e+11  6.028787e+11  6.028787e+11  6.028787e+11  6.028787e+11  6.028787e+11  6.028787e+11  6.028787e+11  6.028787e+11  6.028787e+11  6.028787e+11  6.028787e+11  6.028787e+11  6.028787e+11  6.028787e+11  6.028787e+11  6.028787e+11
x=6.06e+00  1.099857e+11  2.131011e+11  3.071389e+11  3.900771e+11  4.606765e+11  5.187073e+11  5.648555e+11  6.004494e+11  6.271476e+11  6.466727e+11  6.606285e+11  6.703989e+11  6.771117e+11  6.816457e+11  6.846609e+11  6.866378e+11  6.879171e+11  6.887353e+11  6.892528e+11  6.895768e+11  6.897778e+11  6.899013e+11  6.899767e+11  6.900223e+11  6.900497e+11  6.900661e+11  6.900758e+11  6.900815e+11  6.900849e+11  6.900869e+11  6.900880e+11  6.900887e+11  6.900890e+11  6.900893e+11  6.900894e+11  6.900895e+11  6.900895e+11  6.900895e+11  6.900895e+11  6.900895e+11  6.900895e+11  6.900895e+11  6.900895e+11  6.900895e+11  6.900895e+11  6.900895e+11  6.900895e+11  6.900895e+11  6.900895e+11  6.900895e+11  6.900895e+11  6.900895e+11  6.900895e+11  6.900895e+11  6.900895e+11  6.900895e+11  6.900895e+11  6.900895e+11  6.900895e+11  6.900895e+11  6.900895e+11  6.900895e+11  6.900895e+11  6.900895e+11  6.900895e+11  6.900895e+11  6.900895e+11  6.900895e+11  6.900895e+11  6.900895e+11  6.900895e+11  6.900895e+11  6.900895e+11  6.900895e+11  6.900895e+11  6.900895e+11  6.900895e+11  6.900895e+11  6.900895e+11  6.900895e+11  6.900895e+11  6.900895e+11  6.900895e+11  6.900895e+11  6.900895e+11  6.900895e+11  6.900895e+11  6.900895e+11  6.900895e+11  6.900895e+11  6.900895e+11  6.900895e+11  6.900895e+11  6.900895e+11  6.900895e+11  6.900895e+11  6.900895e+11  6.900895e+11  6.900895e+11  6.900895e+11
x=7.07e+00  1.103689e+11  2.149869e+11  3.123382e+11  4.006891e+11  4.785826e+11  5.451924e+11  6.004494e+11  6.449710e+11  6.798721e+11  7.065437e+11  7.264532e+11  7.409978e+11  7.514150e+11  7.587419e+11  7.638100e+11  7.672624e+11  7.695812e+11  7.711184e+11  7.721254e+11  7.727776e+11  7.731957e+11  7.734611e+11  7.736282e+11  7.737324e+11  7.737969e+11  7.738365e+11  7.738607e+11  7.738753e+11  7.738842e+11  7.738895e+11  7.738926e+11  7.738945e+11  7.738956e+11  7.738962e+11  7.738966e+11  7.738968e+11  7.738969e+11  7.738970e+11  7.738971e+11  7.738971e+11  7.738971e+11  7.738971e+11  7.738971e+11  7.738971e+11  7.738971e+11  7.738971e+11  7.738971e+11  7.738971e+11  7.738971e+11  7.738971e+11  7.738971e+11  7.738971e+11  7.738971e+11  7.738971e+11  7.738971e+11  7.738971e+11  7.738971e+11  7.738971e+11  7.738971e+11  7.738971e+11  7.738971e+11  7.738971e+11  7.738971e+11  7.738971e+11  7.738971e+11  7.738971e+11  7.738971e+11  7.738971e+11  7.738971e+11  7.738971e+11  7.738971e+11  7.738971e+11  7.738971e+11  7.738971e+11  7.738971e+11  7.738971e+11  7.738971e+11  7.738971e+11  7.738971e+11  7.738971e+11  7.738971e+11  7.738971e+11  7.738971e+11  7.738971e+11  7.738971e+11  7.738971e+11  7.738971e+11  7.738971e+11  7.738971e+11  7.738971e+11  7.738971e+11  7.738971e+11  7.738971e+11  7.738971e+11  7.738971e+11  7.738971e+11  7.738971e+11  7.738971e+11  7.738971e+11  7.738971e+11
x=8.08e+00  1.105567e+11  2.160031e+11  3.153841e+11  4.073821e+11  4.906375e+11  5.640789e+11  6.271476e+11  6.798721e+11  7.228131e+11  7.569268e+11  7.834008e+11  8.035020e+11  8.184575e+11  8.293770e+11  8.372117e+11  8.427430e+11  8.465899e+11  8.492284e+11  8.510149e+11  8.522100e+11  8.530005e+11  8.535180e+11  8.538534e+11  8.540689e+11  8.542061e+11  8.542927e+11  8.543470e+11  8.543808e+11  8.544017e+11  8.544145e+11  8.544224e+11  8.544271e+11  8.544300e+11  8.544317e+11  8.544327e+11  8.544334e+11  8.544337e+11  8.544339e+11  8.544341e+11  8.544341e+11  8.544342e+11  8.544342e+11  8.544342e+11  8.544342e+11  8.544342e+11  8.544342e+11  8.544342e+11  8.544342e+11  8.544342e+11  8.544342e+11  8.544342e+11  8.544342e+11  8.544342e+11  8.544342e+11  8.544342e+11  8.544342e+11  8.544342e+11  8.544342e+11  8.544342e+11  8.544342e+11  8.544342e+11  8.544342e+11  8.544342e+11  8.544342e+11  8.544342e+11  8.544342e+11  8.544342e+11  8.544342e+11  8.544342e+11  8.544342e+11  8.544342e+11  8.544342e+11  8.544342e+11  8.544342e+11  8.544342e+11  8.544342e+11  8.544342e+11  8.544342e+11  8.544342e+11  8.544342e+11  8.544342e+11  8.544342e+11  8.544342e+11  8.544342e+11  8.544342e+11  8.544342e+11  8.544342e+11  8.544342e+11  8.544342e+11  8.544342e+11  8.544342e+11  8.544342e+11  8.544342e+11  8.544342e+11  8.544342e+11  8.544342e+11  8.544342e+11  8.544342e+11  8.544342e+11  8.544342e+11
x=9.09e+00  1.106488e+11  2.165462e+11  3.171429e+11  4.115240e+11  4.985747e+11  5.772238e+11  6.466727e+11  7.065437e+11  7.569268e+11  7.983344e+11  8.315998e+11  8.577521e+11  8.778970e+11  8.931201e+11  9.044196e+11  9.126675e+11  9.185945e+11  9.227921e+11  9.257246e+11  9.277473e+11  9.291259e+11  9.300551e+11  9.306748e+11  9.310841e+11  9.313519e+11  9.315256e+11  9.316373e+11  9.317086e+11  9.317538e+11  9.317823e+11  9.318000e+11  9.318111e+11  9.318179e+11  9.318221e+11  9.318246e+11  9.318262e+11  9.318271e+11  9.318277e+11  9.318280e+11  9.318282e+11  9.318283e+11  9.318284e+11  9.318284e+11  9.318285e+11  9.318285e+11  9.318285e+11  9.318285e+11  9.318285e+11  9.318285e+11  9.318285e+11  9.318285e+11  9.318285e+11  9.318285e+11  9.318285e+11  9.318285e+11  9.318285e+11  9.318285e+11  9.318285e+11  9.318285e+11  9.318285e+11  9.318285e+11  9.318285e+11  9.318285e+11  9.318285e+11  9.318285e+11  9.318285e+11  9.318285e+11  9.318285e+11  9.318285e+11  9.318285e+11  9.318285e+11  9.318285e+11  9.318285e+11  9.318285e+11  9.318285e+11  9.318285e+11  9.318285e+11  9.318285e+11  9.318285e+11  9.318285e+11  9.318285e+11  9.318285e+11  9.318285e+11  9.318285e+11  9.318285e+11  9.318285e+11  9.318285e+11  9.318285e+11  9.318285e+11  9.318285e+11  9.318285e+11  9.318285e+11  9.318285e+11  9.318285e+11  9.318285e+11  9.318285e+11  9.318285e+11  9.318285e+11  9.318285e+11  9.318285e+11
